Metric,Value
route__drc_errors__iter:1,145
route__wirelength__iter:1,696513
route__drc_errors__iter:2,99
route__wirelength__iter:2,696485
route__drc_errors__iter:3,0
route__wirelength__iter:3,696419
route__drc_errors__iter:4,1
route__wirelength__iter:4,696467
route__drc_errors__iter:5,1
route__wirelength__iter:5,696467
route__drc_errors__iter:6,0
route__wirelength__iter:6,696467
route__drc_errors__iter:7,1
route__wirelength__iter:7,696844
route__drc_errors__iter:8,1
route__wirelength__iter:8,696842
route__drc_errors__iter:10,1
route__wirelength__iter:10,696843
route__drc_errors__iter:11,0
route__wirelength__iter:11,696856
route__drc_errors,0
route__wirelength,696419
route__vias,124265
route__vias__singlecut,124265
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,2
design__critical_disconnected_pin__count,0
route__wirelength__max,981.05
timing__unannotated_net__count__corner:nom_tt_025C_1v80,61
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,61
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,61
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,364
design__max_fanout_violation__count__corner:min_tt_025C_1v80,57
design__max_cap_violation__count__corner:min_tt_025C_1v80,1
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.3281910114342983
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.34190881649223026
timing__hold__ws__corner:min_tt_025C_1v80,0.3364519869051411
timing__setup__ws__corner:min_tt_025C_1v80,4.4854174977148835
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.336452
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,10.626107
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,61
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,6693
design__max_fanout_violation__count__corner:min_ss_100C_1v60,57
design__max_cap_violation__count__corner:min_ss_100C_1v60,8
clock__skew__worst_hold__corner:min_ss_100C_1v60,-0.3841817805957213
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.40524160174544827
timing__hold__ws__corner:min_ss_100C_1v60,0.9213960966111663
timing__setup__ws__corner:min_ss_100C_1v60,-1.932573267227692
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,-10.096180177655674
timing__hold__wns__corner:min_ss_100C_1v60,0
